Frame u v idNr ID Vertex
1060 202.56 413.54 4239 32 0
1060 473.96 385.36 4239 32 2
1060 357.53 429.7 4239 32 3
1062 212.5 409.81 4247 32 0
1062 478.52 383.29 4247 32 2
1062 365.4 426.8 4247 32 3
1063 232.39 405.66 4251 32 0
1063 488.05 379.97 4251 32 2
1063 378.66 421.82 4251 32 3
1064 246.48 403.18 4255 32 0
1064 498.0 378.31 4255 32 2
1064 390.26 417.68 4255 32 3
1065 257.67 400.69 4259 32 0
1065 503.8 375.41 4259 32 2
1065 402.28 413.54 4259 32 3
1067 271.34 397.79 4267 32 0
1067 510.43 375.0 4267 32 2
1067 404.77 408.98 4267 32 3
1068 295.79 392.4 4271 32 0
1068 522.03 371.27 4271 32 2
1068 425.9 403.59 4271 32 3
1070 299.52 389.5 4280 32 0
1070 525.76 370.03 4280 32 2
1070 436.26 401.1 4280 32 3
1071 305.73 387.43 4284 32 0
1071 527.83 370.86 4284 32 2
1071 442.47 399.86 4284 32 3
1072 320.23 385.77 4288 32 0
1072 534.46 368.37 4288 32 2
1072 446.62 397.79 4288 32 3
1074 331.42 382.46 4296 32 0
1074 542.75 366.71 4296 32 2
1074 455.32 396.13 4296 32 3
1075 343.02 380.39 4300 32 0
1075 547.31 365.88 4300 32 2
1075 460.7 393.23 4300 32 3
1077 345.51 382.87 4308 32 0
1077 551.04 365.06 4308 32 2
1077 466.51 392.4 4308 32 3
1078 359.19 377.07 4312 32 0
1078 563.88 363.81 4312 32 2
1078 480.18 387.85 4312 32 3
1079 366.23 379.56 4316 32 0
